Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
CEJUSC  PENÁPOLIS  – POSTO POLÍCIA MILITAR;E-MAIL; (18) 3652-0110  ;http://www.tjsp.jus.br/;cejusc.penapolis@tjsp.jus.br;CEJUSC  PENÁPOLIS;;Rua Nain Eid;31;Jardim Ipê;Penápolis;SP;;CEJUSC
CEJUSC  PLÁCIDO DE CASTRO;E-MAIL;(68) 3237-1205;https://www.tjac.jus.br/;;;69928-000;Rua Juvenal Antunes;1079;Centro;Plácido De Castro;AC;;CEJUSC
CEJUSC PLÁCIDO DE CASTRO (FÓRUM);E-MAIL;(68) 3237-1205;https://www.tjac.jus.br/;;CEJUSC  PLÁCIDO DE CASTRO;69928-000;Rua Juvenal Antunes ;1079;Centro;Plácido De Castro;AC;Fórum Desembargador José Lourenço Furtado Portugal;CEJUSC
CEJUSC RIBEIRÃO PRETO - POSTO BARÃO DE MAUÁ;E-MAIL;(16) 3965-1290  ;http://www.tjsp.jus.br/;cejusc.ribpreto@tjsp.jus.br;CEJUSC  RIBEIRÃO PRETO;;Rua Aureliano Garcia de Oliveira;218;Nova Ribeirânia ;Ribeirão Preto ;SP;;CEJUSC
CEJUSC RIBEIRÃO PRETO – POSTO POLÍCIA MILITAR;E-MAIL;(16) 3969-9993  ;http://www.tjsp.jus.br/;cejusc.ribpreto@tjsp.jus.br;CEJUSC  RIBEIRÃO PRETO;;Avenida Cavalheiro Paschoal Innechi;1538;Jardim Independência;Ribeirão Preto ;SP;;CEJUSC
CEJUSC RIBEIRÃO PRETO - POSTO UNAERP;E-MAIL;(16) 3603-6971  ;http://www.tjsp.jus.br/;cejusc.ribpreto@tjsp.jus.br;CEJUSC  RIBEIRÃO PRETO;;Avenida Costabile Romano;2201;;Ribeirão Preto ;SP;Bloco B, sala 2B  ;CEJUSC
CEJUSC RIBEIRÃO PRETO - POSTO USP (FACULDADE DE DIREITO);E-MAIL; (16) 3315-0108  ;http://www.tjsp.jus.br/;cejusc.ribpreto@tjsp.jus.br;CEJUSC  RIBEIRÃO PRETO;;Rua dos Bambus;S/N;Campus USP;Ribeirão Preto ;SP;casa 4;CEJUSC
CEJUSC SANTA ISABEL - POSTO IGARATÁ;E-MAIL;(11) 4610-1137  ;http://www.tjsp.jus.br/;cejusc.staisabel@tjsp.jus.br;CEJUSC  SANTA ISABEL;;Rua Irineu Prianti Chaves;130;Centro;Santa Isabel;SP;;CEJUSC
CEJUSC  SANTANA;E-MAIL;(96) 3281-8100 – Ramal: 8115;https://www.tjap.jus.br/portal/;;;68925-000;Rua Cláudio Lúcio Monteiro;900;Centro; Santana;AP;;CEJUSC
CEJUSC  JUIZADO CÍVEL E CRIMINAL DE SANTANA;E-MAIL;(96) 3281-8100 – Ramal: 3452;https://www.tjap.jus.br/portal/;;CEJUSC  SANTANA;68925-000;Rua Cláudio Lúcio Monteiro;900;Centro; Santana;AP;;CEJUSC
CEJUSC SÃO JOSÉ DO RIO PRETO – POSTO POLÍCIA MILITAR;E-MAIL;(17) 3225-8942 ramal 179;http://www.tjsp.jus.br/;;CEJUSC  SÃO JOSÉ DO RIO PRETO;;Rua Macyr Amadeu;996;São Francisco;São José Do Rio Preto;SP;;CEJUSC
CEJUSC SÃO JOSÉ DOS CAMPOS - POSTO MONTEIRO LOBATO;E-MAIL;(12) 3979-1513 ;http://www.tjsp.jus.br/; cejusc.sjcampos@tjsp.jus.br;CEJUSC  SÃO JOSÉ DOS CAMPOS;;Rua Humberto Capeli;11;Centro;São José Dos Campos;SP;;CEJUSC
CEJUSC SÃO MANUEL – POSTO AREIÓPOLIS;E-MAIL;(14) 3846-9822  ;http://www.tjsp.jus.br/;cejusc.saomanuel@tjsp.jus.br;CEJUSC  SÃO MANUEL;;Rua Paulo Lourenço de Siqueira;232;Vila Cremer;São Manuel;SP;;CEJUSC
CEJUSC SÃO VICENTE – POSTO DEFENSORIA PÚBLICA;E-MAIL;(13) 3467-2013  ;http://www.tjsp.jus.br/;cejusc.saovicente@tjsp.jus.br;CEJUSC  SÃO VICENTE;;Rua Jacob Emmerich;944;Centro;São Vicente ;SP;;CEJUSC
CEJUSC SERTÃOZINHO – POSTO POLÍCIA MILITAR;E-MAIL; (16) 3491-3626  ;http://www.tjsp.jus.br/;cejusc.sertaoz@tjsp.jus.br;CEJUSC  SERTÃOZINHO;;Avenida João Pignata;922;Jardim São Sebastião ;Sertãozinho;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO BRIGADEIRO TOBIAS;E-MAIL;(15) 3339-9235;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Avenida Bandeirantes;4155;Centro;Sorocaba;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO ÉDEN;E-MAIL;(15) 3339-9235;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Rua Bonifácio de Oliveira;80;Centro;Sorocaba;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO IPANEMA;E-MAIL;(15) 3339-9235;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Avenida Ipanema;3.439;Centro;Sorocaba;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO ITAVUVU;E-MAIL; (15) 3339-9235;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Avenida Itavuvu;3.415;Centro;Sorocaba;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO JARDIM IPIRANGA;E-MAIL;(15) 3339-9235;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Rua Estado de Israel;424;Centro;Sorocaba;SP;;CEJUSC
CEJUSC SOROCABA – CASA DO CIDADÃO NOGUEIRA PADILHA;E-MAIL;(15) 3237-7171;http://www.tjsp.jus.br/;cejusc.sorocaba@tjsp.jus.br;CEJUSC  SOROCABA;;Avenida Nogueira Padilha;1.460;Vila Hortência;Sorocaba;SP;;CEJUSC
CEJUSC  TERESINA;E-MAIL;(86)3223-1019;http://www.tjpi.jus.br/portaltjpi/;;;64000-830;Praça Des. Edgar Nogueira;S/N;Centro;Teresina;PI;Fórum Cível e Criminal Des. Joaquim de Sousa Neto;CEJUSC
CEJUSC  TERESINA – CENTRO;E-MAIL;(86)3222-2156;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;64000-080;Rua Coelho Rodrigues ;954;Centro;Teresina;PI;;CEJUSC
CEJUSC  TERESINA – UNINOVAFAPI;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  CAPITAL – FACID;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  CAPITAL - CESVALE;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  CAPITAL - ESTÁCIO;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  CAPITAL – UNINASSAU;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  CAPITAL - FATEPI;E-MAIL;;http://www.tjpi.jus.br/portaltjpi/;;CEJUSC  TERESINA;;;;;Teresina;PI;;CEJUSC
CEJUSC  TERESINA 2º GRAU;E-MAIL;(86)3230-7816;http://www.tjpi.jus.br/portaltjpi/;cejusc2grau@tjpi.jus.br;CEJUSC  TERESINA;64000-830;Praça Des. Edgar Nogueira;S/N;Centro;Teresina;PI; Fórum Cível e Criminal Des. Joaquim de Sousa Neto;CEJUSC
CEJUSC ABRE CAMPO;E-MAIL;(31) 3872-1243 - 223;https://www.tjmg.jus.br/portal-tjmg/;cejusc.abn@tjmg.jus.br;;35365-000;Rua Dr. Olinto de Abreu;7;Centro;Abre Campo;MG;;CEJUSC
CEJUSC APARECIDA DE GOIÂNIA;E-MAIL;(62) 3238-5187;https://www.tjgo.jus.br/;conciliacaoaparecida@tjgo.jus.br ;;74980-970;Rua Versalles;Quadra 03, Lotes 08/14;Residencial Maria Luiza;Aparecida De Goiânia;GO;FÓRUM DA COMARCA DE APARECIDA DE GOIÂNIA;CEJUSC
CEJUSC APARECIDA DE GOIÂNIA - UNIFAN;E-MAIL;(62) 3545-4895;https://www.tjgo.jus.br/;2cejuscc.aparecida@tjgo.jus.br ;CEJUSC APARECIDA DE GOIÂNIA;74853-410;Rua Campo Grande;Qd. 26, Lt. 26;Jardim das Esmeraldas;Aparecida De Goiânia;GO;Prédio III, UNIFAN;CEJUSC
CEJUSC BARREIRAS;E-MAIL;;http://www5.tjba.jus.br/portal/;;;47800-163;Rua Anibal Alves Barbosa ;S/N;Centro;Barreiras;BA;4º sandar;CEJUSC
CEJUSC BARREIRAS (FASB);E-MAIL;(77) 3612-2658;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC BARREIRAS ;47806-004;Rua 21 de setembro  ;202;;Barreiras ;BA; NPJ FASB;CEJUSC
CEJUSC BARREIRAS (FAC. D. PEDRO II);E-MAIL;(77) 3614-1000;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC BARREIRAS ;47807-069;Rua D. Pedro II ;63;São Pedro;Barreiras ;BA;(D. Pedro II) -NPJ Fac. Pedro II;CEJUSC
CEJUSC BELÉM;E-MAIL;(91)3110-7435              ;http://www.tjpa.jus.br/PortalExterno/;cejusc.cad@tjpa.jus.br  ;;; Avenida Pedro Miranda;1593;Pedreira ;Belém ;PA;3º andar - Central de Distribuição e Atermação dos Juizados Especiais Cíveis de Belém;CEJUSC
2º CEJUSC DA CAPITAL (CASA DE JUSTIÇA E CIDADANIA);E-MAIL;(91) 3131-1612            ;http://www.tjpa.jus.br/PortalExterno/;cjc@tjpa.jus.br;CEJUSC BELÉM;; Travessa Presidente Pernambuco;415;;Belém ;PA;Em frente a UNIMED da Batista Campos;CEJUSC
1º CEJUSC DA CAPITAL (FAMÍLIA);E-MAIL;(91) 3205-2839 / 3205-2739              ;http://www.tjpa.jus.br/PortalExterno/;cejuscvaradefamiliabelem@tjpa.jus.br;CEJUSC BELÉM;;;;;Belém ;PA;Fórum Cível da Capital - 1º andar - sala 137;CEJUSC
CEJUSC DA CAPITAL (FAMAZ);E-MAIL;;http://www.tjpa.jus.br/PortalExterno/;cejusc@famaz.edu.br;CEJUSC BELÉM;; Travessa Quintino Bocaiuva;143;;Belém ;PA;Entre Municipalidade e Marechal Hermes;CEJUSC
CEJUSC DA CAPITAL (PROCON) TRAVESSA LOMAS VALENTINA, Nº 1150, BAIRRO PEDREIRA;E-MAIL;(91) 3073-2832/3073-2831           ;http://www.tjpa.jus.br/PortalExterno/;cejusc.procon@tjpa.jus.br                   ;CEJUSC BELÉM;;  Travessa Lomas Valentina;1150;Pedreira;Belém ;PA;;CEJUSC
6º CEJUSC DA CAPITAL (FABEL);E-MAIL;(91) 3230-1555                       ;http://www.tjpa.jus.br/PortalExterno/;cejusc.fabel@tjpa.jus.br;CEJUSC BELÉM;;Rua Aristides Lobo;897;Reduto;Belém ;PA;;CEJUSC
7º CEJUSC DA CAPITAL (UFPA);E-MAIL;(91) 3201-7722 / 3201-7273           ;http://www.tjpa.jus.br/PortalExterno/;cejuscufpa@tjpa.gov.br / nucleoufpa@gmail.com;CEJUSC BELÉM;;Rua Augusto Correa;1;;Belém ;PA;NPJ da UFPA, Bloco L, Bairro Guamá.;CEJUSC
CEJUSC DE MARABÁ (FACULDADE DOS CARAJÁS);E-MAIL;(94) 3222-5600 ramal 242/243           ;http://www.tjpa.jus.br/PortalExterno/;cejuscmaraba@tjpa.gov.br;CEJUSC BELÉM;;Avenida VP8; Lote 2, Folha 32;Nova Marabá;Belém ;PA;;CEJUSC
CEJUSC BELO HORIZONTE;E-MAIL;(31) 3253-2150;https://www.tjmg.jus.br/portal-tjmg/;;;;Avenida Francisco Sá;1.409;Gutierrez;Belo Horizonte;MG;;CEJUSC
CEJUSC BELO HORIZONTE - FAMÍLIA;E-MAIL;3232-2539;https://www.tjmg.jus.br/portal-tjmg/;cejusc.familia@tjmg.jus.br;CEJUSC BELO HORIZONTE;;Avenida Afonso Pena;1400;Serra;Belo Horizonte;MG;;CEJUSC
CEJUSC SEGUNDO GRAU;E-MAIL;3232-2540;https://www.tjmg.jus.br/portal-tjmg/;cejusc.segundograu@tjmg.jus.br;CEJUSC BELO HORIZONTE;;Avenida Afonso Pena;1400;Serra;Belo Horizonte;MG;;CEJUSC
CEJUSC BOA VISTA;E-MAIL;(95) 3198-2800;http://www.tjrr.jus.br/;;;69301-380;Praça do Centro Cívico;296;Centro;Boa Vista;RR;;CEJUSC
NÚCLEO DE CONCILIAÇÃO E AUXILIARES DA JUSTIÇA -TERMINAL JOSÉ CAMPANHA WANDERLEY;E-MAIL;(95) 3198-4146;http://www.tjrr.jus.br/;;CEJUSC BOA VISTA;69301-310;Rua Barreto Leite;233;Centro;Boa Vista;RR;Sala da Justiça - 1º Piso;CEJUSC
NÚCLEO DE CONCILIAÇÃO E AUXILIARES DA JUSTIÇA - TERMINAL CAIMBÉ;E-MAIL;(95) 3198-4147;http://www.tjrr.jus.br/;;CEJUSC BOA VISTA;69312-215;Av. dos Imigrantes;S/N;Bairro Caimbé;Boa Vista;RR;Terminal João Firmino Neto - loja 47;CEJUSC
NÚCLEO DE CONCILIAÇÃO E AUXILIARES DA JUSTIÇA - CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA;E-MAIL;(95) 2121-5500;http://www.tjrr.jus.br/;;CEJUSC BOA VISTA;69313-792;Rua Y;88;Bairro União;Boa Vista;RR;;CEJUSC
CEJUSC CACONDE - POSTO CACONDE;E-MAIL;(19) 3662-2015  ;http://www.tjsp.jus.br/;cejusc.caconde@tjsp.jus.br;CEJUSC CACONDE;;Rua Benedito Oliveira Santos;55;Centro;Caconde;SP;;CEJUSC
CEJUSC CAMAÇARI (FAMEC);E-MAIL;(71) 3186-3250;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC CAMAÇARI;42801-120;Avenida Jorge Amado;S/N;Ponto Certo;Camaçari ;BA;(FAMEC);CEJUSC
CEJUSC CAMAÇARI (GRAVATÁ);E-MAIL;(71) 3621-5032;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC CAMAÇARI;42800-000;Avenida do Canal;S/N;Gravatá -Centro Social Urbano;Camaçari ;BA;;CEJUSC
CEJUSC  CAMPINA GRANDE (AGRESTE) /FACISA E NÚCEO PROENDIVIDADOS);E-MAIL;(83) 3341-1631;https://www.tjpb.jus.br/;conciliação@facisa.edu.br / cpg-mis-cejusc01@tjpb.jus.br;CEJUSC CAMPINA GRANDE;;Rua Carlos Chagas;47;São José ;Campina Grande ;PB;;CEJUSC
CEJUSC CAMPINA GRANDE (AGRESTE) – CONSUMERISTA – PROCON ESTADUAL;E-MAIL;(83) 3321-6996;https://www.tjpb.jus.br/;cpg-con-cejusc02@tjpb.jus.br / proconunesc@procon.pb.gov.br;CEJUSC CAMPINA GRANDE;;Rua Afonso Campos;186;Centro;Campina Grande ;PB;;CEJUSC
CEJUSC CAMPINA GRANDE (AGRESTE) – EMPRESARIAIS – ACCG/CBMAE;E-MAIL;(83) 3341-3306 Ramal 22;https://www.tjpb.jus.br/;cbmaeaccg@accg.com.br;CEJUSC CAMPINA GRANDE;;Avenida Floriano Peixoto;715;Centro;Campina Grande ;PB;3º andar;CEJUSC
CEJUSC CEJUSC CAMPINA GRANDE (AGRESTE) EXTRAJUDICIAL- UEPB;E-MAIL;;https://www.tjpb.jus.br/;;CEJUSC CAMPINA GRANDE;;;;;Campina Grande ;PB;;CEJUSC
CEJUSC CEJUSC CAMPINA GRANDE – VARAS DA FAZENDA PÚBLICA;E-MAIL;;https://www.tjpb.jus.br/;;CEJUSC CAMPINA GRANDE;;Rua Vice-Prefeito Antônio Carvalho de Souza;450;Liberdade;Campina Grande ;PB;Centro Jurídico Ronaldo Cunha Lima ;CEJUSC
CEJUSC CAMPINA GRANDE – Familiar – TJPB/UNINASSAU;E-MAIL;(83) 3310-9757;https://www.tjpb.jus.br/;cejuscviiuepb@gmail.com;CEJUSC CAMPINA GRANDE;58401-095;Avenida Ana de Azevedo;207;Palmeira;Campina Grande ;PB;;CEJUSC
CEJUSC CAMPINA GRANDE;E-MAIL;(83) 3341-9179;https://www.tjpb.jus.br/;cpg-con-cejusc03@tjpb.jus.br;;;Rua Emani Lauritzen;226;Centro;Campina Grande ;PB;(AGRESTE) / – CONSUMERISTA – PROCON MUNICICAL;CEJUSC
CEJUSC CAMPINAS – POSTO FACAMP;E-MAIL; (19) 3754-8522  ;http://www.tjsp.jus.br/;cejusc.campinas@tjsp.jus.br;CEJUSC CAMPINAS;;Rua Alan Turing;805;Barão Geraldo ;Campinas;SP;;CEJUSC
CEJUSC CAMPINAS – POSTO PUC;E-MAIL;(19) 3343-6760  ;http://www.tjsp.jus.br/;cejusc.campinas@tjsp.jus.br;CEJUSC CAMPINAS;;  Rua Prof. DR Euclydes de Jesus Zerbini;1516;Centro;Campinas;SP;;CEJUSC
CEJUSC CAMPINAS – POSTO UNISAL;E-MAIL;(19) 3744-6896  ;http://www.tjsp.jus.br/;cejusc.campinas@tjsp.jus.br;CEJUSC CAMPINAS;;Rua do Oratório;222;Centro;Campinas;SP;;CEJUSC
CEJUSC CAMPO GRANDE;E-MAIL;(67) 3317-3983 e 3317-3973;https://www.tjms.jus.br/;cejusc-tj@tjms.jus.br;;79020-180;Rua das Garças;1140;Centro;Campo Grande;MS;;CEJUSC
